stage,n_layer_sites,vllm_us_step_bs1,mpk_us_step_bs1,ratio_bs1,abs_gap_us_step_bs1,vllm_us_layer_bs1,mpk_us_layer_bs1,vllm_us_step_bs8,mpk_us_step_bs8,ratio_bs8,abs_gap_us_step_bs8,vllm_us_layer_bs8,mpk_us_layer_bs8,vllm_us_step_bs16,mpk_us_step_bs16,ratio_bs16,abs_gap_us_step_bs16,vllm_us_layer_bs16,mpk_us_layer_bs16,note
dense projections (fp8 blockscale),40,1353.5,2803.0,2.071,1449.5,33.837,70.075,1434.72,2840.0,1.979,1405.3,35.868,71.0,1370.96,2859.0,2.085,1488.0,34.274,71.475,"160 GEMM sites both sides: qkvz x30, gdn out_proj x30, qkvg x10, o_proj x10, shared gate_up x40, shared down x40"
dense projections (bf16 small + lm_head),71,609.27,832.0,1.366,222.7,8.581,11.718,626.86,897.0,1.431,270.1,8.829,12.634,632.19,911.0,1.441,278.8,8.904,12.831,"71 sites both sides: in_proj_ba x30, MoE router gate x40, lm_head x1"
MoE routed GEMM w13 (gate_up),40,336.56,2344.0,6.965,2007.4,8.414,58.6,879.83,2507.0,2.849,1627.2,21.996,62.675,1123.23,2881.0,2.565,1757.8,28.081,72.025,
MoE routed GEMM w2 (down),40,300.66,1315.0,4.374,1014.3,7.517,32.875,699.07,1396.0,1.997,696.9,17.477,34.9,755.94,1537.0,2.033,781.1,18.899,38.425,
MoE router top-k/softmax,40,147.86,842.0,5.695,694.1,3.697,21.05,184.1,908.0,4.932,723.9,4.603,22.7,238.18,980.0,4.115,741.8,5.955,24.5,vLLM routing kernel only; the router GEMM is counted in the bf16 dense row
MoE combine (weighted sum + residual),40,174.1,263.0,1.511,88.9,4.353,6.575,191.07,257.0,1.345,65.9,4.777,6.425,194.34,251.0,1.292,56.7,4.859,6.275,
MoE/shared SiLU-mul,80,273.64,210.0,0.767,-63.6,3.42,2.625,405.08,289.0,0.713,-116.1,5.064,3.612,390.24,361.0,0.925,-29.2,4.878,4.513,"APPROX: vLLM activationDeepSeekKernel also re-quantises the intermediate to fp8, which on the MPK side lives in task 275 - this row flatters vLLM's 118-equivalent"
shared-expert gate (sigmoid*shared+residual),40,429.61,252.0,0.587,-177.6,10.74,6.3,443.79,321.0,0.723,-122.8,11.095,8.025,455.14,364.0,0.8,-91.1,11.378,9.1,"vLLM = gate GEMM + sigmoid + mul (+splitK reduce at bs8/16), 3-4 kernels; MPK fuses all of it into one task. vLLM side runs on the overlapped side stream"
quantize / fp8 casts,200,559.28,533.0,0.953,-26.3,2.796,2.665,620.5,547.0,0.882,-73.5,3.103,2.735,606.23,583.0,0.962,-23.2,3.031,2.915,
GDN conv1d,30,89.61,173.0,1.931,83.4,2.987,5.767,91.68,195.0,2.127,103.3,3.056,6.5,95.61,197.0,2.06,101.4,3.187,6.567,
GDN recurrent (delta rule),30,163.65,221.0,1.35,57.3,5.455,7.367,270.43,731.0,2.703,460.6,9.014,24.367,462.74,1454.0,3.142,991.3,15.425,48.467,
full attention,10,133.57,601.0,4.5,467.4,13.357,60.1,133.39,618.0,4.633,484.6,13.339,61.8,148.71,740.0,4.976,591.3,14.871,74.0,"Arm A is matched-geometry (256-token prompt, msl=353 = 256+96 decode steps+1): the M3-I1 caveat about AC-3 context (132) no longer applies to this column. This row's PRIMARY basis in ferret_targets.json is actually the late-context closure capture (msl=897, ctx~801-896, opt/m3i10/remeasure/armAlate/), not this matched-geometry (ctx 257-352) number directly -- see that file's context_band/matched_window fields."
norms / RoPE / glue,81,557.82,185.0,0.332,-372.8,6.887,2.284,660.5,188.0,0.285,-472.5,8.154,2.321,680.39,193.0,0.284,-487.4,8.4,2.383,"NOT LIKE-FOR-LIKE: MPK fuses most norms/RoPE/L2-norm into its GEMM, attention and recurrent tasks; task 154 is only the standalone RMSNorm"
sampling / argmax,1,8.68,40.0,4.608,31.3,8.68,40.0,9.54,74.0,7.757,64.5,9.54,74.0,13.47,97.0,7.201,83.5,13.47,97.0,
embedding,1,2.47,58.0,23.482,55.5,2.47,58.0,5.74,45.0,7.84,39.3,5.74,45.0,8.37,38.0,4.54,29.6,8.37,38.0,
TOTAL (step),,5140.3,9822.8,2.754,6256.0,,,6656.3,10728.1,2.227,5909.8,,,7175.7,12662.3,2.361,7299.0,,,vLLM: union over all kernels
