stage,n_layer_sites,vllm_us_step_bs1,mpk_us_step_bs1,ratio_bs1,abs_gap_us_step_bs1,vllm_us_layer_bs1,mpk_us_layer_bs1,vllm_us_step_bs8,mpk_us_step_bs8,ratio_bs8,abs_gap_us_step_bs8,vllm_us_layer_bs8,mpk_us_layer_bs8,vllm_us_step_bs16,mpk_us_step_bs16,ratio_bs16,abs_gap_us_step_bs16,vllm_us_layer_bs16,mpk_us_layer_bs16,note
dense projections (fp8 blockscale),40,1353.5,2936.0,2.169,1582.5,33.837,73.4,1434.72,2947.0,2.054,1512.3,35.868,73.675,1370.96,2973.0,2.169,1602.0,34.274,74.325,"160 GEMM sites both sides: qkvz x30, gdn out_proj x30, qkvg x10, o_proj x10, shared gate_up x40, shared down x40"
dense projections (bf16 small + lm_head),71,609.27,838.0,1.375,228.7,8.581,11.803,626.86,884.0,1.41,257.1,8.829,12.451,632.19,921.0,1.457,288.8,8.904,12.972,"71 sites both sides: in_proj_ba x30, MoE router gate x40, lm_head x1"
MoE routed GEMM w13 (gate_up),40,336.56,3084.0,9.163,2747.4,8.414,77.1,879.83,4696.0,5.337,3816.2,21.996,117.4,1123.23,5009.0,4.459,3885.8,28.081,125.225,
MoE routed GEMM w2 (down),40,300.66,1702.0,5.661,1401.3,7.517,42.55,699.07,2497.0,3.572,1797.9,17.477,62.425,755.94,2641.0,3.494,1885.1,18.899,66.025,
MoE router top-k/softmax,40,147.86,565.0,3.821,417.1,3.697,14.125,184.1,588.0,3.194,403.9,4.603,14.7,238.18,632.0,2.653,393.8,5.955,15.8,vLLM routing kernel only; the router GEMM is counted in the bf16 dense row
MoE combine (weighted sum + residual),40,174.1,222.0,1.275,47.9,4.353,5.55,191.07,229.0,1.199,37.9,4.777,5.725,194.34,243.0,1.25,48.7,4.859,6.075,
MoE/shared SiLU-mul,80,273.64,238.0,0.87,-35.6,3.42,2.975,405.08,400.0,0.987,-5.1,5.064,5.0,390.24,479.0,1.227,88.8,4.878,5.987,"APPROX: vLLM activationDeepSeekKernel also re-quantises the intermediate to fp8, which on the MPK side lives in task 275 - this row flatters vLLM's 118-equivalent"
shared-expert gate (sigmoid*shared+residual),40,429.61,428.0,0.996,-1.6,10.74,10.7,443.79,596.0,1.343,152.2,11.095,14.9,455.14,432.0,0.949,-23.1,11.378,10.8,"vLLM = gate GEMM + sigmoid + mul (+splitK reduce at bs8/16), 3-4 kernels; MPK fuses all of it into one task. vLLM side runs on the overlapped side stream"
quantize / fp8 casts,200,559.28,4540.0,8.118,3980.7,2.796,22.7,620.5,4406.0,7.101,3785.5,3.103,22.03,606.23,4244.0,7.001,3637.8,3.031,21.22,
GDN conv1d,30,89.61,193.0,2.154,103.4,2.987,6.433,91.68,205.0,2.236,113.3,3.056,6.833,95.61,212.0,2.217,116.4,3.187,7.067,
GDN recurrent (delta rule),30,163.65,1217.0,7.437,1053.3,5.455,40.567,270.43,2462.0,9.104,2191.6,9.014,82.067,462.74,4979.0,10.76,4516.3,15.425,165.967,
full attention,10,133.57,513.0,3.841,379.4,13.357,51.3,133.39,491.0,3.681,357.6,13.339,49.1,148.71,461.0,3.1,312.3,14.871,46.1,"NOT LIKE-FOR-LIKE: vLLM measured at KV length 556-896 (256+1024 workload), MPK at the AC-3 geometry (max_seq_length 132). The MPK/vLLM ratio here is a LOWER bound"
norms / RoPE / glue,81,557.82,162.0,0.29,-395.8,6.887,2.0,660.5,153.0,0.232,-507.5,8.154,1.889,680.39,162.0,0.238,-518.4,8.4,2.0,"NOT LIKE-FOR-LIKE: MPK fuses most norms/RoPE/L2-norm into its GEMM, attention and recurrent tasks; task 154 is only the standalone RMSNorm"
sampling / argmax,1,8.68,37.0,4.263,28.3,8.68,37.0,9.54,75.0,7.862,65.5,9.54,75.0,13.47,115.0,8.537,101.5,13.47,115.0,
embedding,1,2.47,54.0,21.862,51.5,2.47,54.0,5.74,52.0,9.059,46.3,5.74,52.0,8.37,50.0,5.974,41.6,8.37,50.0,
TOTAL (step),,5140.3,15264.0,4.279,11697.2,,,6656.3,18618.0,3.864,13799.7,,,7175.7,22005.0,4.103,16641.7,,,vLLM: union over all kernels
